1,In Search of Lost Time ,Marcel Proust,1913
2,Ulysses,James Joyce,1922
3,Don Quixote,Miguel de Cervantes,1605
4,One Hundred Years of Solitude ,Gabriel Garcia Marquez,1967
5,The Great Gatsby ,F. Scott Fitzgerald,1925
6,Moby Dick,Herman Melville,1851
7,War and Peace,Leo Tolstoy,1869
8,Hamlet,William Shakespeare,1601
9,The Odyssey,Homer,-700
10,Madame Bovary,Gustave Flaubert,1857
11,The Divine Comedy ,Dante Alighieri,1472
12,Lolita ,Vladimir Nabokov,1955
13,The Brothers Karamazov ,Fyodor Dostoyevsky,1880
14,Crime and Punishment ,Fyodor Dostoyevsky,1866
15,Wuthering Heights,Emily Brontë,1847
16,The Catcher in the Rye,J. D. Salinger,1945
17,Pride and Prejudice,Jane Austen,1813
18,The Adventures of Huckleberry Finn,Mark Twain,1884
19,Anna Karenina,Leo Tolstoy,1877
20,Alice's Adventures in Wonderland ,Lewis Carroll,1865
21,The Iliad,Homer,-700
22,To the Lighthouse ,Virginia Woolf,1927
23,Catch-22 ,Joseph Heller,1961
24,Heart of Darkness,Joseph Conrad,1899
25,The Sound and the Fury,William Faulkner,1929
26,Nineteen Eighty Four,George Orwell,1949
27,Great Expectations,Charles Dickens,1861
28,One Thousand and One Nights,India/Iran/Iraq/Egypt,1706
29,The Grapes of Wrath ,John Steinbeck,1939
30,Absalom Absalom!,William Faulkner,1936
31,Invisible Man ,Ralph Ellison,1952
32,To Kill a Mockingbird ,Harper Lee,1960
33,The Trial,Franz Kafka,1925
34,The Red and the Black,Stendhal,1830
35,Middlemarch,George Eliot,1871
36,Gulliver's Travels,Jonathan Swift,1726
37,Beloved,Toni Morrison,1987
38,Mrs. Dalloway ,Virginia Woolf,1925
39,The Stories of Anton Chekhov,Anton Chekhov,1961
40,The Stranger ,Albert Camus,1946
41,Jane Eyre,Charlotte Bronte,1847
42,The Aeneid,Virgil,-19
43,Collected Fiction,Jorge Luis Borges,1935
44,The Sun Also Rises ,Ernest Hemingway,1926
45,David Copperfield,Charles Dickens,1850
46,Tristram Shandy,Laurence Sterne,1759
47,Leaves of Grass,Walt Whitman,1855
48,The Magic Mountain,Thomas Mann,1924
49,A Portrait of the Artist as a Young Man ,James Joyce,1917
50,Midnight's Children ,Salman Rushdie,1981
51,Oedipus the King,Sophocles,-429
52,Candide,Voltaire,1759
53,The Lord of the Rings,J. R. R. Tolkien,1954
54,The Idiot,Fyodor Dostoyevsky,1868
55,Les Misérables,Victor Hugo,1862
56,A Passage to India ,E. M. Forster,1924
57,The Old Man and the Sea,Ernest Hemingway,1952
58,Things Fall Apart ,Chinua Achebe,1958
59,Emma,Jane Austen,1815
60,For Whom the Bell Tolls,Ernest Hemingway,1940
61,The Complete Stories of Franz Kafka,Franz Kafka,1971
62,The Metamorphosis,Franz Kafka,1915
63,The Portrait of a Lady ,Henry James,1881
64,Frankenstein ,Mary Shelley,1831
65,Pale Fire ,Vladimir Nabokov,1962
66,Antigone,Sophocles,-442
67,As I Lay Dying,William Faulkner,1930
68,The Color Purple,Alice Walker,1982
69,The Possessed,Fyodor Dostoyevsky,1872
70,Gone With the Wind ,Margaret Mitchell,1937
71,Lord of the Flies ,William Golding,1954
72,Brave New World,Aldous Huxley,1931
73,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1975
74,The Age of Innocence,Edith Wharton,1920
75,Dead Souls,Nikolai Gogol,1842
76,On the Road,Jack Kerouac,1957
77,The Good Soldier,Ford Madox Ford,1915
78,Animal Farm,George Orwell,1946
79,Orlando: A Biography,Virginia Woolf,1923
80,The Canterbury Tales,Geoffrey Chaucer,1380
81,Vanity Fair,William Makepeace Thackeray,1847
82,Under the Volcano ,Malcolm Lowry,1947
83,The Waste Land,T. S. Eliot,1965
84,A Farewell to Arms,Ernest Hemingway,1929
85,Journey to the End of The Night,Louis-Ferdinand Céline,1932
86,The Castle,Franz Kafka,1926
87,A Sentimental Education,Gustave Flaubert,1869
88,The Scarlet Letter,Nathaniel Hawthorne,1850
89,Slaughterhouse-Five ,Kurt Vonnegut,1969
90,The Handmaid's Tale,Margaret Atwood,1985
91,Charlotte's Web,E. B. White,1952
92,Native Son ,Richard Wright,1940
93,The Charterhouse of Parma,Stendhal,1839
94,Paradise Lost,John Milton,1667
95,Gargantua and Pantagruel,Francois Rabelais,1532
96,Poems of Emily Dickinson,Emily Dickinson,1955
97,Faust,Johann Wolfgang von Goethe,1808
98,Rebecca,Daphne du Maurier,1938
99,The Flowers of Evil,Charles Baudelaire,1857
100,Decameron,Giovanni Boccaccio,1350
101,Tess of the d'Urbervilles,Thomas Hardy,1891
102,Waiting for Godot,Samuel Beckett,1953
103,Robinson Crusoe,Daniel Defoe,1719
104,Their Eyes Were Watching God ,Zora Neale Hurston,1937
105,Tom Jones,Henry Fielding,1749
106,King Lear,William Shakespeare,1608
107,A Clockwork Orange,Anthony Burgess,1962
108,The Master and Margarita,Mikhail Bulgakov,1966
109,Father Goriot,Honoré de Balzac,1835
110,The Tin Drum,Günter Grass,1959
111,Sons and Lovers,D. H. Lawrence,1913
112,The Little Prince,Antoine de Saint-Exupéry,1943
113,Fathers and Sons,Ivan Turgenev,1862
114,Oresteia,Aeschylus,-458
115,Wide Sargasso Sea,Jean Rhys,1966
116,Bleak House,Charles Dickens,1852
117,A Season in Hell,Arthur Rimbaud,1873
118,Howards End,E. M. Forster,1910
119,Little Women,Louisa May Alcott,1868
120,Fairy Tales and Stories,Hans Christian Anderson,1843
121,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971
122,Rabbit Run,John Updike,1960
123,Lord Jim,Joseph Conrad,1900
124,A Confederacy of Dunces,John Kennedy Toole,1980
125,Atonement,Ian McEwan,2002
126,Cousin Bette,Honoré de Balzac,1846
127,White Teeth ,Zadie Smith,2000
128,The Tale of Genji,Murasaki Shikibu,1000
129,The Golden Notebook,Doris Lessing,1962
130,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,0
131,Treasure Island,Robert Louis Stevenson,1881
132,All the King's Men,Robert Penn Warren,1946
133,The Man Without Qualities,Robert Musil,1930
134,Doctor Faustus,Thomas Mann,1947
135,The Count of Monte Cristo,Alexandre Dumas,1844
136,Epic of Gilgamesh,Unknown,-600
137,Stories of Ernest Hemingway,Ernest Hemingway,1987
138,Nostromo,Joseph Conrad,1904
139,The Big Sleep,Raymond Chandler,1939
140,The Tempest,William Shakespeare,1610
141,Dangerous Liaison,Pierre Choderlos de Laclos,1782
142,All Quiet on the Western Front,Erich Maria Remarque,1929
143,Love in the Time of Cholera,Gabriel Garcia Marquez,1985
144,Buddenbrooks,Thomas Mann,1901
145,My Antonia,Willa Cather,1918
146,Blood Meridian,Cormac McCarthy,1986
147,The Corrections,Jonathan Franzen,2001
148,The Call of the Wild,Jack London,1903
148,First Folio,William Shakespeare,1623
149,Tender Is the Night,F. Scott Fitzgerald,1934
150,The Wind in the Willows,Kenneth Grahame,1908
151,A Prayer for Owen Meany ,John Irving,1989
152,One Flew Over the Cuckoo's Nest ,Ken Kesey,1962
153,Rabbit Is Rich,John Updike,1981
154,Metamorphoses,Ovid,8
155,Collected Poems of W. B. Yeats,W. B. Yeats,1933
156,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007
157,The Lion The Witch and the Wardrobe,C. S. Lewis,1950
158,Oedipus at Colonus,Sophocles,-401
159,The Moviegoer,Walker Percy,1961
160,Medea,Euripides,-431
161,Macbeth,William Shakespeare,1587
162,Lost Illusions,Honoré de Balzac,1837
163,Pedro Paramo,Juan Rulfo,1955
164,The Prime of Miss Jean Brodie ,Muriel Spark,1961
165,A Tree Grows in Brooklyn,Betty Smith,1943
166,Doctor Zhivago,Boris Pasternak,1957
167,The Ambassadors,Henry James,1903
168,The Remains of the Day,Kazuo Ishiguro,1989
169,Austerlitz ,W. G. Sebald,2001
170,Confessions of Zeno,Italo Svevo,1923
171,Dracula,Bram Stoker,1897
172,Women in Love,D. H. Lawrence,1920
173,Of Mice and Men,John Steinbeck,1937
174,The Complete Sherlock Holmes,Arthur Conan Doyle,1887
175,The Waves,Virginia Woolf,1931
176,Rabbit Redux,John Updike,1971
177,The Hound of the Baskervilles,Arthur Conan Doyle,1901
178,The Leopard,Giuseppe Tomasi di Lampedusa,1958
179,2666,Roberto Bolaño,2004
180,Eugenie Grandet,Honoré de Balzac,1833
181,A Room With a View,E. M. Forster,1908
182,The Sea The Sea,Iris Murdoch,1978
183,Bonfire of the Vanities,Tom Wolfe,1987
184,The House of the Spirits,Isabel Allende,1982
185,Twenty Thousand Leagues Under the Sea,Jules Verne,1870
186,The Princess of Cleves,Madame de La Fayette,1678
187,The Wind-Up Bird Chronicle,Haruki Murakami,1994
188,The Plague,Albert Camus,1947
189,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886
190,The Pickwick Papers,Charles Dickens,1837
191,The Stories of John Cheever,John Cheever,1978
192,Fahrenheit 451,Ray Bradbury,1953
193,The Hobbit,J. R. R. Tolkien,1937
194,Jude the Obscure,Thomas Hardy,1895
195,Nineteen Nineteen,John Dos Passos,1932
195,U.S.A. Trilogy,John Dos Passos,1938
196,The 42nd Parallel,John Dos Passos,1930
197,The Big Money,John Dos Passos,1936
198,Independent People,Halldor Laxness,1946
199,The House of Mirth,Edith Wharton,1905
200,The World According to Garp,John Irving,1978
201,The Republic,Plato,-380
202,The Stand,Stephen King,1978
203,Clarissa,Samuel Richardson,1748
204,The Good Soldier Svejk,Jaroslav Hašek,1923
205,Electra,Sophocles,-409
206,The Picture of Dorian Gray,Oscar Wilde,1890
207,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
208,Collected Poems,Wallace Stevens,1955
209,Harry Potter And The Philosopher's Stone,J. K Rowling,1997
210,American Pastoral,Philip Roth,1997
211,La Regenta,Clarín,1884
212,Atlas Shrugged,Ayn Rand,1957
213,Stranger in a Strange Land,Robert A. Heinlein,1961
214,Winnie the Pooh,A. A Milne,1926
215,Kim,Rudyard Kipling,1901
216,A Doll's House,Henrik Ibsen,1879
217,Rabbit at Rest,John Updike,1990
218,Hunger,Knut Hamsun,1890
219,Memoirs of Hadrian,Marguerite Yourcenar,1951
220,Dune,Frank Herbert,1965
221,Berlin Alexanderplatz,Alfred Döblin,1929
222,The Three Musketeers,Alexandre Dumas,1844
223,The Book of Disquiet,Fernando Pessoa,1982
224,The Road,Cormac McCarthy,2006
225,If on a Winter's Night a Traveller ,Italo Calvino,1979
226,The Long Goodbye: A Novel,Raymond Chandler,0
227,De Rerum Natura,Lucretius,-55
228,An American Tragedy,Theodore Dreiser,1925
229,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000
230,Lucky Jim ,Kingsley Amis,1954
231,A Tale of Two Cities,Charles Dickens,1859
232,Light in August ,William Faulkner,1932
233,A Dance to the Music of Time,Anthony Powell,1951
234,The Jungle,Upton Sinclair,1906
235,Herzog ,Saul Bellow,1964
236,The Poems of Robert Frost,Robert Frost,1969
237,The Time Machine,H. G. Wells,1895
238,Parade's End,Ford Madox Ford,1924
239,Song of Solomon,Toni Morrison,1977
240,Portnoy's Complaint ,Philip Roth,1969
241,A House for Mr. Biswas ,V. S. Naipaul,1961
242,Gravity's Rainbow ,Thomas Pynchon,1973
243,Dubliners,James Joyce,1914
244,Brighton Rock,Graham Greene,1938
245,Middlesex,Jeffrey Eugenides,2002
246,Steppenwolf,Hermann Hesse,1927
247,Disgrace,J M Coetzee,1999
248,Nine Stories,J. D. Salinger,1953
249,Through the Looking Glass,Lewis Carroll,1871
250,The End of the Affair,Graham Greene,1951
251,Thus Spake Zarathustra,Friedrich Nietzsche,1883
252,The Mill on the Floss,George Eliot,1860
253,Ethan Frome,Edith Wharton,1911
254,The Shipping News,E. Annie Proulx,1993
255,Prometheus Bound,Aeschylus,-415
256,The Unbearable Lightness of Being,Milan Kundera,1984
257,Never Let Me Go ,Kazuo Ishiguro,2005
258,2001: A Space Odyssey,Arthur C. Clarke,1951
259,Henderson The Rain King,Saul Bellow,1959
260,Persuasion,Jane Austen,1818
261,The Bell Jar,Sylvia Plath,1963
262,The Heart Is A Lonely Hunter,Carson McCullers,1940
263,White Noise ,Don DeLillo,1985
264,Molloy,Samuel Beckett,1951
265,The Fountainhead,Ayn Rand,1943
266,Siddhartha,Hermann Hesse,1922
267,Season of Migration to the North,Al-Tayyib Salih,1966
268,The Sense of an Ending,Julian Barnes,2011
269,The Line of Beauty,Alan Hollinghurst,2004
270,I Claudius,Robert Graves,1934
271,The Suppliants,Aeschylus,-470
272,The Persians,Aeschylus,-472
273,Seven Against Thebes,Aeschylus,-467
274,Brideshead Revisited,Evelyn Waugh,1945
275,Of Human Bondage ,W. Somerset Maugham,1915
276,Malone Dies,Samuel Beckett,1951
277,The Adventures of Augie March,Saul Bellow,1953
278,Cloud Atlas,David Mitchell,2004
279,The Man Who Loved Children ,Christina Stead,1940
280,Cry the Beloved Country,Alan Paton,1948
281,Pippi Longstocking,Astrid Lindgren,1945
282,Wolf Hall,Hilary Mantel,2009
283,Selected Stories of Alice Munro,Alice Munro,1996
284,The Maltese Falcon,Dashiell Hammett,1930
285,Complete Poems of Giacomo Leopardi,Giacomo Leopardi,1946
286,Moll Flanders,Daniel Defoe,1772
287,Ajax,Sophocles,-450
288,Women of Trachis,Sophocles,-410
289,Philoctetes,Sophocles,-409
290,The Killer Angels,Michael Shaara,1974
291,Possession ,A. S. Byatt,1990
292,The Red Badge of Courage,Stephen Crane,1895
293,The Poisonwood Bible,Barbara Kingsolver,1998
294,Tarzan of the Apes,Edgar Rice Burroughs,1912
295,Death of Virgil,Hermann Broch,1945
296,The Counterfeiters,André Gide,1925
297,Lady Chatterley's Lover,D. H. Lawrence,1928
298,Gilead,Marilynne Robinson,2004
299,Jacques the Fatalist and His Master,Denis Diderot,1796
300,Zorba the Greek,Nikos Kazantzakis,1946
301,The Confusions of Young Törless,Robert Musil,1906
302,Main Street,Sinclair Lewis,1920
303,So Long See You Tomorrow,William Maxwell,1981
304,War of the Worlds,H. G. Wells,1898
305,The Good Earth,Pearl S. Buck,1931
306,The Once and Future King,T. H. White,1958
307,Our Mutual Friend,Charles Dickens,1865
308,Humboldt's Gift,Saul Bellow,1975
309,The Secret History,Donna Tartt,1992
310,The Known World,Edward P. Jones,2003
311,The God of Small Things,Arundhati Roy,1997
312,All the Pretty Horses,Cormac McCarthy,1992
313,Darkness at Noon,Arthur Koestler,1940
